paperId,questionId,assetType,path,assemblySha256,repairedManifestSha256,repairedCurrentSha256,originalCurrentSha256,repairedManifestHashMatchesCurrent,assemblyBounds,repairedManifestBounds,repairedManifestPage,sourcePdf
0625-2021-w-13,0625-2021-w-13-q40,question,0625-2021-w-13/question/q40-16-1.webp,111a22ff5bc096f4b0fde529aaab1674755c0f3ee73566e0363a9e79ef3d11e6,91348ea7435889cb419ba79d6b4251074841e0bedc99bb3c5b888b8fbe3d68e4,91348ea7435889cb419ba79d6b4251074841e0bedc99bb3c5b888b8fbe3d68e4,ad1c0c4b0145fa8d1f9803173c9a8296f04d8b0078c4fdf87eb195cc314551e3,True,"[0.0,233.464,595.0,790.0]","[0.0,233.464,595.0,769.306]",16,"{""copyright_notice"":""© UCLES observed"",""pages"":16,""path"":""data/raw/0625-2021-w-13-question.pdf"",""sha256"":""86a64a176daf30f6851487da177fb9ada309ebc61f51ef642433124b98286cb1"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2021/0625_w21_qp_13.pdf""}"
0625-2021-w-21,0625-2021-w-21-q40,question,0625-2021-w-21/question/q40-16-1.webp,6e2f75590ee9bd0c0ae3b956fd507038a9f24b4e676fa3622327f3ad65bb57cc,fad39c42308f120360996803e5b8d94c0b89c766874ee26c87fe959ba68c655e,fad39c42308f120360996803e5b8d94c0b89c766874ee26c87fe959ba68c655e,70ffdcc0e6b1a1311c2a19d4ce9ebc0c8e2c7528336520be9dc1c7389326754f,True,"[0.0,327.983,595.0,790.0]","[0.0,327.983,595.0,769.306]",16,"{""copyright_notice"":""© UCLES observed"",""pages"":16,""path"":""data/raw/0625-2021-w-21-question.pdf"",""sha256"":""9542606a9ba9c09b95736e4e913906453c079a46210e1a0b2db8ff4b94f203ae"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2021/0625_w21_qp_21.pdf""}"
0625-2021-w-22,0625-2021-w-22-q40,question,0625-2021-w-22/question/q40-20-4.webp,4d4edee29f0ff031c717b6ec8e6be8b207e28866c9e3b19717d35352bc18cad8,9d2211dbb2dcc8ca6b1205692bb36bca7eefba75c464937a01f180e588c2f356,9d2211dbb2dcc8ca6b1205692bb36bca7eefba75c464937a01f180e588c2f356,a3814f7bdd28ba1b82c0dea4705cbf176a894fe2d719d23db096d06a381fca12,True,"[0.0,48.0,595.0,790.0]","[0.0,48.0,595.0,769.306]",20,"{""copyright_notice"":""© UCLES observed"",""pages"":20,""path"":""data/raw/0625-2021-w-22-question.pdf"",""sha256"":""ef6ea97396f340600f668798cffaf81fe2851b8bfadea43fe3987ede2dbdc9a1"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2021/0625_w21_qp_22.pdf""}"
0625-2021-w-23,0625-2021-w-23-q40,question,0625-2021-w-23/question/q40-20-4.webp,4d4edee29f0ff031c717b6ec8e6be8b207e28866c9e3b19717d35352bc18cad8,9d2211dbb2dcc8ca6b1205692bb36bca7eefba75c464937a01f180e588c2f356,9d2211dbb2dcc8ca6b1205692bb36bca7eefba75c464937a01f180e588c2f356,8161ff79061da08fcd81604344d60e6095d63209c8367421e67ad74f22dd02de,True,"[0.0,48.0,595.0,790.0]","[0.0,48.0,595.0,769.306]",20,"{""copyright_notice"":""© UCLES observed"",""pages"":20,""path"":""data/raw/0625-2021-w-23-question.pdf"",""sha256"":""e838783210e5cf5bbd96ebe523303400d7eba8b4b4b5cd40c5ecc20dbb0a58fb"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2021/0625_w21_qp_23.pdf""}"
0625-2022-m-12,0625-2022-m-12-q40,question,0625-2022-m-12/question/q40-20-4.webp,76ce3449cf48318b4a35ab53f22b10b00b1d0d5181fe4ab1389cc372265e662d,9d2211dbb2dcc8ca6b1205692bb36bca7eefba75c464937a01f180e588c2f356,9d2211dbb2dcc8ca6b1205692bb36bca7eefba75c464937a01f180e588c2f356,6f2372594b3ea54df531ebc2cb9161dd361d9a6c0aa0a3d3325beb237f81f6a4,True,"[0.0,48.0,595.0,790.0]","[0.0,48.0,595.0,769.306]",20,"{""copyright_notice"":""© UCLES observed"",""pages"":20,""path"":""data/raw/0625-2022-m-12-question.pdf"",""sha256"":""a60d7acea6316829b9193fbb115eb59cb518bc3640ad43880fa45673e2566fbf"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2022/0625_m22_qp_12.pdf""}"
0625-2022-m-22,0625-2022-m-22-q40,question,0625-2022-m-22/question/q40-16-1.webp,f3a8dec7ca25f3983273cb3e87cc4ff8c99b0f068454d1e5e6ee9b17e7c4738b,22d6ec35c405a24a2257d9051a60f7c6cc58cf201033f73444d8ccde381c521f,22d6ec35c405a24a2257d9051a60f7c6cc58cf201033f73444d8ccde381c521f,276bb8304a617c8311660b0b595a4f2176ef3dcd756e89987e1d24fbb7c56ab7,True,"[0.0,56.603,595.0,790.0]","[0.0,56.603,595.0,770.506]",16,"{""copyright_notice"":""© UCLES observed"",""pages"":16,""path"":""data/raw/0625-2022-m-22-question.pdf"",""sha256"":""547b66e02421a7ef1b87eed502d1c1e0fc01052ed90f5210521068c9577ca7b1"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2022/0625_m22_qp_22.pdf""}"
0625-2022-s-11,0625-2022-s-11-q40,question,0625-2022-s-11/question/q40-20-3.webp,76ce3449cf48318b4a35ab53f22b10b00b1d0d5181fe4ab1389cc372265e662d,9d2211dbb2dcc8ca6b1205692bb36bca7eefba75c464937a01f180e588c2f356,9d2211dbb2dcc8ca6b1205692bb36bca7eefba75c464937a01f180e588c2f356,c646e3816c29b8cbb6da0f2b56eb6d6b952ba447ecf7f0b1d1c9b3bcf03d2ae4,True,"[0.0,48.0,595.0,790.0]","[0.0,48.0,595.0,769.306]",20,"{""copyright_notice"":""© UCLES observed"",""pages"":20,""path"":""data/raw/0625-2022-s-11-question.pdf"",""sha256"":""f35f524a863ca31a5d33ecadab0cf5088279750e6cfe57a138446619d629e9b3"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2022/0625_s22_qp_11.pdf""}"
0625-2022-s-12,0625-2022-s-12-q36,question,0625-2022-s-12/question/q36-15-1.webp,5b165e6f44b2a5781b156a1e417e6e00405bec9809ffb85d5b5faead93c754c6,8004992b2b8765c7c05e7cef5d1985a6d6951eec95810283e9e750b0f46cb78e,8004992b2b8765c7c05e7cef5d1985a6d6951eec95810283e9e750b0f46cb78e,0a4cb1c7a26e9a1e7583953d8f19b040721a0f9d95e95859013915c22f418f3b,True,"[0.0,360.022,595.0,790.0]","[0.0,360.022,595.0,765.886]",15,"{""copyright_notice"":""© UCLES observed"",""pages"":16,""path"":""data/raw/0625-2022-s-12-question.pdf"",""sha256"":""aa546724c5887f96807e1507a5afc5b8f97c5f206efef49bdb68dbd8a6080eb3"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2022/0625_s22_qp_12.pdf""}"
0625-2022-s-13,0625-2022-s-13-q40,question,0625-2022-s-13/question/q40-20-4.webp,76ce3449cf48318b4a35ab53f22b10b00b1d0d5181fe4ab1389cc372265e662d,9d2211dbb2dcc8ca6b1205692bb36bca7eefba75c464937a01f180e588c2f356,9d2211dbb2dcc8ca6b1205692bb36bca7eefba75c464937a01f180e588c2f356,898e2fdaf5424c7dd45c33e926bd26355024de2fe4798496055880a5b46814b7,True,"[0.0,48.0,595.0,790.0]","[0.0,48.0,595.0,769.306]",20,"{""copyright_notice"":""© UCLES observed"",""pages"":20,""path"":""data/raw/0625-2022-s-13-question.pdf"",""sha256"":""7de4975f26fe01899afefa13aeaadbf80f8bdb27b346f31e3fd17559cade5d65"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2022/0625_s22_qp_13.pdf""}"
0625-2022-s-21,0625-2022-s-21-q34,question,0625-2022-s-21/question/q34-14-1.webp,2009826a1ffb86d5c37d4b6a45c738da91e4e5fa2549b9e4c64c72919e2cba80,bdda9511ce69c35cc3f385caf72527377c1ebc6d1645ee3ade8f20ed69513101,bdda9511ce69c35cc3f385caf72527377c1ebc6d1645ee3ade8f20ed69513101,d630a071d14e12207cec07d6b28ea3af12f182bdfe484716ddf7a7516852e84b,True,"[0.0,389.123,595.0,790.0]","[0.0,389.123,595.0,769.306]",14,"{""copyright_notice"":""© UCLES observed"",""pages"":16,""path"":""data/raw/0625-2022-s-21-question.pdf"",""sha256"":""233363a48b9f4354d4a4c272795824879b46f7083f4f462b0372bf2690e1e58b"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2022/0625_s22_qp_21.pdf""}"
